,Course Code,Course,EOS,Mid
633,GY206,Business Information Systems (Work Placement & Optional Int'l Study),431 ,445
634,GY207,Commerce (Accounting) including optional Global Experience year,486,    510
635,GY208,Commerce (Gaeilge),473 ,488
636,GY209,Commerce (Global Experience),509,531
637,GY250,Law & Business,436,467
638,GY251,Law,473,498
639,GY252,Law & Human Rights,510,521
640,GY261,"Business Studies (International Hotel Management, Shannon)", 486,615
641,GY262,"Commerce (International Hotel Management, Shannon)", 671,726
642,GY301,Science,400,456
643,GY303,Biomedical Science,533,566
644,GY304,Biotechnology,473,507
645,GY308,Environmental Science,413,440
646,GY309,Financial Mathematics and Economics,454,498
647,GY310,Marine Science,409,456
648,GY313,Environmental Health and Safety,402,435
649,GY314,Earth and Ocean Sciences,402,425
650,GY318,Biopharmaceutical Chemistry,510,532
651,GY319,Mathematical Science,456,531
652,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487
653,GY350,Computer Science and Information Technology,425,466
654,GY401,Engineering (Undenominated),444,499
655,GY402,Civil Engineering,509,543
656,GY405,Mechanical Engineering,443,499
657,GY406,Electronic and Computer Engineering,509,547
658,GY408,Biomedical Engineering,519,543
659,GY410,Project and Construction Management,434,464
660,GY413,Energy Systems Engineering,532,589
661,GY414,Electrical and Electronic Engineering,454,487
662,GY501,"Medicine (five year/six year course, HPAT required)", 726,731
663,GY502,Occupational Therapy,532,543
664,GY503,Speech and Language Therapy,529,543
665,GY504,Podiatric Medicine,434,463
666,GY515,General Nursing (Galway and Portiuncula),442,466
667,GY516,Mental Health Nursing,388,413
668,GY517,Midwifery,429,468
669,LY108,Business - Accounting,318,399
670,LY118,Business,287,352
671,LY208,Law,300,359
672,LY218,Business - with Spanish/Irish options,298,367
673,LY228,Sports and Exercise (Common Entry),278,330
674,LY408,Design (Common Entry), 307,368
675,LY508,Fire Safety Engineering,270,299
676,LY518,Quantity Surveying,307,368
677,LY528,Construction Management,267,291
678,LY608,Mechanical Engineering,304,333
679,LY618,Electronics and Embedded Systems,307,339
680,LY708,Applied Computing,300,348
681,LY818,Science (Common Entry),302,371
682,LY828,Agriculture (Common Entry),300,342
683,LY908,General Nursing,383,390
684,LY918,Psychiatric Nursing,291 ,332
685,LY928,Intellectual Disability Nursing,288,299
686,LY968,"Early Childhood Care, Health and Education",300,336
687,LY978,Health & Social Care (Common Entry),260,299
688,MI001,Contemporary & Applied Theatre Studies,345,381
689,MI002,Arts (offered in conjunction with the University of Limerick),300,    378
690,MI005,Education - Primary Teaching,473,506
691,MI006,Education - Primary Teaching (Gaeltacht Applicants), 442,473
692,MI007,Early Childhood Care and Education,366,    402
693,MI008,Education and Psychology - Primary Teaching,543,    555
694,MI009,"Education, Business Studies and Accounting (Thurles Campus)",392,    420
695,MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",326,    355
696,MI011,"Education, Irish and Religious Studies (Thurles Campus)",377 ,387
697,MI012,"Education, Irish and Business Studies (Thurles Campus)",398,    440
698,MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",433 ,465
699,CI101,Counselling and Psychotherapy (Limerick),276,    328
700,LC110,"Art and Design (Common Entry, portfolio)", 734,918
701,LC114,Fashion and Textiles for Product and Costume (portfolio), 900,988
702,LC220,Digital Marketing,254 ,288
703,LC223,Law and Taxation,308,    372
704,LC224,Accounting and Finance,299,    382
705,LC225,Marketing and Management,298 ,337
706,LC226,Enterprise and Innovation,216 ,298
707,LC233,Software Development,300 ,371
708,LC234,Interactive Digital Media,219 ,288
709,LC236,Internet Systems Development,298,    319
710,LC239,Computer Networks and Systems Management,335 ,347
711,LC241,Construction Management,276 ,303
712,LC242,Property Valuation and Management,292,    328
713,LC243,Quantity Surveying,281,    360
714,LC248,Built Environment (Common Entry),307,    350
715,LC252,Civil Engineering Management,281,    331
716,LC263,Clinical Technology,282,    359
717,LC265,Forensic and Pharmaceutical Sciences,335 ,368
718,LC266,Drug and Medicinal Product Analysis,236 ,299
719,LC275,Electrical Engineering,288,    340
720,LC288,Mechanical Engineering,307,    360
721,LC289,Precision Engineering,280,    369
722,LC292,Social Care Work,360,    389
723,LC293,Business Studies with Travel and Tourism Management,299,    326
724,LC294,Business Studies with Event Management,271,    300
725,LC295,Business Studies with Sports Management,263,    298
726,LC297,Community Development,217,    269
727,LC320,Business,337,    378
728,LC330,Business with Computing,298 ,326
729,LC340,Interior Design,298 ,349
730,LC362,Biotechnology and Biopharmaceutical Sciences,379,    402
731,LC371,Creative Broadcast and Film Production,298 ,339
732,LC372,Music Technology and Production,321 ,369
733,LC374,Renewable and Electrical Energy Engineering,317 ,368
734,LC375,Industrial Automation & Robotic Systems,321,    368
735,LC376,Electronic Engineering,308,    346
736,LC380,Automotive Engineering and Transport Management,282,    329
737,LC392,Beauty and Spa Management,217,    318
738,LC393,Early Childhood Education & Care,260,    309
739,LC401,Early Childhood Education & Care (Thurles),298 ,387
740,LC402,Social Care Work (Thurles),209,    290
741,LC408,Environmental and Geographical Sciences (Thurles),262,    346
742,LC411,Marketing and Management (Thurles),226,300
743,LC418,Computing - Games Design and Development (Thurles),271,    318
744,LC422,Sports Strength and Conditioning (Thurles),288,    333
745,LC434,Environmental Management in Agriculture (Thurles),278 ,347
746,LC502,"Game Art and Design (Clonmel, portfolio)", 838,950
747,LC517,Creative Media and Design (Clonmel),229,273
748,LC518,"Digital Animation Production (Clonmel, portfolio)", 816,962
749,LC612,Social Care Work (Ennis),319 ,338
750,LC613,Early Childhood Education & Care (Ennis),346 ,388
751,LM002,Arts (offered in conjunction with Mary Immaculate College),329,388
752,LM020,Law and Accounting,436,476
753,LM026,Performing Arts (audition required), 307,367
754,LM028,Criminal Justice,387,409
755,LM029,Law Plus,473,499
756,LM038,Psychology and Sociology,478,489
757,LM039,Journalism and New Media,388,430
758,LM040,European Studies,350,462
759,LM044,Applied Languages,404,473
760,LM050,Business Studies,419,455
761,LM056,International Business,511,543
762,LM058,Financial Mathematics,434,543
763,LM063,Technology Management,372,409
764,LM068,Food Science and Health,400,430
765,LM076,Product Design and Technology (portfolio required), 402,466
766,LM077,Aeronautical Engineering,469,531
767,LM082,Construction Management and Engineering,368,404
768,LM089,Sport and Exercise Sciences,441,466
769,LM090,Physical Education with concurrent Teacher Education,498,520
770,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509
771,LM093,Equine Science,338,381
772,LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433
773,LM095,Materials and Engineering Technology with concurrent Teacher Education,358,409
774,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422
775,LM099,Architecture (portfolio required), 419,473
776,LM100,Physiotherapy,565,577
777,LM101,Medicine  - Graduate Entry (GAMSAT required), 55,57
778,LM102,Psychology,495,519
779,LM103,Paramedic Studies (B and C1 Drivers Licence), 313,403
780,LM115,Chemical and Biochemical Engineering,456,520
781,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,    498
782,LM118,Electronic and Computer Engineering,401,    498
783,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,    420
784,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,    430
785,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,    455
786,LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scienc,427,    521
787,LM125,Physics (Applied Physics/Mathematics and Physics),405,    509
788,LM150,General Nursing,440 ,463
789,LM152,Mental Health Nursing,388,    418
790,LM154,Intellectual Disability Nursing,381,408
791,LM156,Midwifery,429,    444
792,MU001,Theology and Arts,290,    318
793,MU002,Theology,292,    377
794,MH001,Education - Primary Teaching (Froebel),496,520
795,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel), 441 ,
796,MH101,Arts,316,    369
797,MH103,Music, ,367
798,MH106,Psychology - 3 years,495,    499
799,MH107,Social Science,326,    349
800,MH109,Media Studies,317,        377
801,MH116,Community and Youth Work (Full-Time), ,271
802,MH201,Science,350,    392
803,MH202,Biotechnology,429,    446
804,MH204,Physics with Astrophysics,420,    488
805,MH206,Theoretical Physics and Mathematics,498 ,566
806,MH207,Data Science,434,466
807,MH208,Biological and Biomedical Sciences,451 ,476
808,MH209,Psychology (through Science) - 4 years,473,    485
809,MH210,Pharmaceutical and Biomedical Chemistry,446 ,466
810,MH212,Science/Computer Science/Mathematics (with Education) - options,444 ,476
811,MH304,Engineering (Computer/Electronic/Communications),371,    423
812,MH305,Product Design,358,    411
813,MH306,Robotics and Intelligent Devices,361 ,424
814,MH401,Finance (options),352 ,392
815,MH402,Quantitative Finance,476,    487
816,MH403,Accounting and Finance,402,    432
817,MH404,Business (options),400,    429
818,MH405,Equine Business,357 ,398
819,MH407,Business and Accounting,401 ,420
820,MH411,Entrepreneurship,358,    388
821,MH501,LLB Law - four year Single Major Law programme,451 ,476
822,MH502,Law (options),410,    442
823,MH601,Computer Science through Arts (options),342,369
824,MH602,Computer Science through Science (options),357,413
825,MH603,Computational Thinking,520,543
826,MH801,Early Childhood - Teaching and Learning (part-time),347,358
827,MH802,"Community and Youth Work (part-time, in service", ,
828,MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students", ,
829,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497
830,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433
831,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,    457
832,AS051,"Nutrition, Food and Business Management",337,    399
833,AS054,Home Economics,387 ,401
834,AS110,General Nursing,391,409
835,AS130,Intellectual Disability Nursing,317 ,338
836,SG141,Business,252,    317
837,SG142,Business in International Marketing and Sales with French,270,    388
838,SG144,Business in International Marketing and Sales with Spanish,280,    388
839,SG146,Accounting,307 ,347
840,SG147,Sport with Business,269,    316
841,SG148,Tourism with Event Management,246,    282
842,SG149,Business in Finance and Investment,262,    357
843,SG241,Performing Arts,279,348
844,SG242,Early Childhood Care and Education,278 ,318
845,SG243,Social Care Practice,297,    338
846,SG244,Fine Art, 355,496
847,SG245,Creative Design,261 ,338
848,SG246,Computing,295,368
849,SG247,English and Psychology,308 ,336
850,SG248,Sociology and Politics,282,    320
851,SG249,Writing and Literature,279,    338
852,SG250,Application Design and User Experience,290 ,431
853,SG251,Computing (Smart Technologies),303 ,391
854,SG252,Software Development,300,    354
855,SG253,Computer Networks and Cloud Infrastructure,273,341
856,SG343,Quantity Surveying,261,302
857,SG346,Construction Project Management and Applied Technology,289,351
858,SG347,Architecture,309,357
859,SG441,Environmental Science,297,358
860,SG442,Occupational Safety and Health,289,330
861,SG443,Human Nutrition,357,419
862,SG444,Science (Undenominated),308,369
863,SG445,Pharmaceutical Science with Drug Development,347,369
864,SG446,Applied Archaeology,289,290
865,SG447,Health Science and Physical Activity,316,363
866,SG448,Forensic Investigation and Analysis,306,348
867,SG449,Medical Biotechnology,329,352
868,TL801,Animation Visual Effects and Motion Design,281,341
869,TL802,"TV, Radio and New Media",306,356
870,TL803,Music Technology,264,288
871,TL810,Computing with Software Development,309,341
872,TL811,Computing with Games Development,310,334
873,TL812,Computing with Digital Media,369,    369
874,TL815,Computing (Degree Award options),308,    378
875,TL823,Event Management (3 year programme),291,    346
876,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,    372
877,TL842,Construction Management,,
878,TL844,Agricultural Engineering,311,    368
879,TL845,Civil Engineering,300,    364
880,TL847,Manufacturing Engineering,,
881,TL848,Agricultural Science,331 ,362
882,TL851,Wildlife Biology (Degree Award options),310 ,362
883,TL855,Pharmaceutical Science (Degree Award options),342 ,386
884,TL858,Veterinary Bioscience,326,    369
885,TL871,Health and Leisure (Degree Award options),303 ,346
886,TL872,Health and Leisure with Massage,288,    357
887,TL873,Coaching and Sports Performance,282 ,336
888,TL880,Early Childhood Care and Education,307 ,347
889,TL881,Social Care,308 ,356
890,TL889,Counselling with Addiction - Mature applicants only, ,
891,TL890,General Nursing and Mature Applicants,407 ,431
892,TL891,Mental Health Nursing and Mature Applicants,367 ,379
893,WD001,Applied Computing (options),279 ,358
894,WD002,Science (options),302 ,377
895,WD005,Health Sciences (options),288 ,347
896,WD006,Exercise Sciences (options),282,337
897,WD007,Engineering (options),287 ,382
898,WD025,Construction Management and Engineering,269,327
899,WD027,Music, 290,317
900,WD048,Business (options),278 ,357
901,WD084,Accounting,307 ,403
902,WD091,Hospitality Management,210 ,281
903,WD116,General Nursing,413 ,430
904,WD117,Psychiatric Nursing,361 ,382
905,WD120,Intellectual Disability Nursing,338 ,359
906,WD134,International Business,289 ,350
907,WD137,Design (Visual Communications),253 ,373
908,WD140,Laws,290 ,352
909,WD144,Architecture,283 ,385
910,WD147,Pharmaceutical Science,298 ,363
911,WD148,Tourism Marketing,269 ,338
912,WD149,Early Childhood Studies,288 ,336
913,WD150,Criminal Justice Studies,271 ,311
914,WD152,Visual Art,253 ,323
915,WD161,Computer Forensics and Security,262 ,401
916,WD162,Quantity Surveying,260 ,320
917,WD163,Psychology,390 ,429
918,WD186,Sports Coaching and Performance,276 ,327
919,WD187,Social Science,271 ,321
920,WD191,Agricultural Science,378 ,421
921,WD192,Social Care Practice,279 ,323
922,WD193,Marketing and Digital Media,290 ,358
923,WD194,Culinary Arts,235 ,331
924,WD195,Architectural and Building Information Modelling Technology,266 ,305
925,WD200,Arts (options),221 ,296
926,WD210,Software Systems Development,271 ,329
927,WD211,Creative Computing,275 ,322
928,WD212,Recreation and Sport Management,274 ,311
929,WD230,Mechanical and Manufacturing Engineering,273 ,348
